DPTO;ANO;CATENFER;ENFERMEDAD;y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69
5;2011;Canceres;Leucemia Linfoide Aguda (Lla);0,039587759;1;0;0;1;0;0;0;0;0;0,666666667;0;0,333333333;0;0;0;0;0;0,333333333;0;0;0;0;0,333333333;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Canceres;Linfoma No Hodgkin (Lnh);0,039587759;1;0;0;0,666666667;0;0,333333333;0;0;0;1;0;0;0;0;0;0;0,333333333;0;0;0,333333333;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Canceres;Tumores Del Sistema Nervioso Central (Snc);0,079175519;1;0;0;0,833333333;0;0,166666667;0;0;0;0,833333333;0;0,166666667;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Canceres;Tumores Del Sistema Urinario;0,02639184;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0,5;0;0;0;0;0,5;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Canceres;Tumores Malignos De Los Organos Digestivos;0,01319592;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Ciertas Afecciones Originadas En El Periodo Perinatal;Complicaciones Del Periodo Perinatal ;5,080429131;0,937662338;0,01038961;0,051948052;0,888311688;0,002597403;0,057142857;0;0,025974026;0,023376623;0,664935065;0,080519481;0,246753247;0,280519481;0,163636364;0,012987013;0,002597403;0,18961039;0,155844156;0,2;0,415584416;0,067532468;0,033766234;0,041558442;0,927272727;0,05974026;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Ciertas Afecciones Originadas En El Periodo Perinatal;Malformaciones Congenitas Del Sistema Circulatorio;1,517530779;0,956521739;0,008695652;0,034782609;0,92173913;0;0,052173913;0;0,008695652;0,017391304;0,695652174;0,034782609;0,260869565;0,234782609;0,139130435;0,017391304;0,008695652;0,2;0,182608696;0,208695652;0,4;0,043478261;0,026086957;0,043478261;0,947826087;0,052173913;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Enfermedades Del Sistema Circulatorio;Enfermedades Cerebrovasculares;0,039587759;1;0;0;1;0;0;0;0;0;0,333333333;0;0,666666667;0,333333333;0;0;0;0;0;0,333333333;0;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Enfermedades Genitourinarias;Enfermedad Renal Tubulointersticial;0,02639184;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
5;2011;Enfermedades Genitourinarias;Nefritis Y Nefrosis;0,02639184;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5601806;14580905,97;15137;820;1254;24782;1383;284;286;8353;980;2430;203;23;11;22;10;9;1;0;0;0;40;1;57;541;20;3;15;3;14;25;22;9;347;0;77;478;0;0;0;0;0
